,time,comp_angle,gyro_angle,accel_angle,control,frequency
390,1622659206.6147523,0,0,0,-50.0,181
391,1622659206.6203208,0,0,0,-50.0,181
392,1622659206.6259387,0,0,0,-50.0,178
393,1622659206.6315463,0,0,0,-50.0,179
394,1622659206.6371415,0,0,0,-50.0,178
395,1622659206.6426473,0,0,0,-50.0,178
396,1622659206.648145,0,0,0,-50.0,181
397,1622659206.6536474,0,0,0,-50.0,181
398,1622659206.6591866,0,0,0,-50.0,181
399,1622659206.6648142,0,0,0,-50.0,180
400,1622659206.6703975,0,0,0,-50.0,177
401,1622659206.675984,0,0,0,-50.0,179
402,1622659206.681481,0,0,0,-50.0,179
403,1622659206.6869729,0,0,0,-50.0,181
404,1622659206.6925044,0,0,0,-50.0,182
405,1622659206.6980143,0,0,0,-50.0,180
406,1622659206.70356,0,0,0,-50.0,181
407,1622659206.7090511,0,0,0,-50.0,180
408,1622659206.7145488,0,0,0,-50.0,182
409,1622659206.7201898,0,0,0,-50.0,181
410,1622659206.72573,0,0,0,-50.0,177
411,1622659206.7314668,0,0,0,-50.0,180
412,1622659206.73708,0,0,0,-50.0,174
413,1622659206.7427773,0,0,0,-50.0,178
414,1622659206.7483418,0,0,0,-50.0,175
415,1622659206.7539322,0,0,0,-50.0,179
416,1622659206.7594619,0,0,0,-50.0,178
417,1622659206.764997,0,0,0,-50.0,180
418,1622659206.7705986,0,0,0,-50.0,180
419,1622659206.7761614,0,0,0,-50.0,178
420,1622659206.7817893,0,0,0,-50.0,179
421,1622659206.7873023,0,0,0,-50.0,177
422,1622659206.7929215,0,0,0,-50.0,181
423,1622659206.7984555,0,0,0,-50.0,177
424,1622659206.8039715,0,0,0,-50.0,180
425,1622659206.8095536,0,0,0,-50.0,181
426,1622659206.8150866,0,0,0,-50.0,179
427,1622659206.8206835,0,0,0,-50.0,180
428,1622659206.8262806,0,0,0,-50.0,178
429,1622659206.831984,0,0,0,-50.0,178
430,1622659206.8375175,0,0,0,-50.0,175
431,1622659206.8431487,0,0,0,-50.0,180
432,1622659206.84868,0,0,0,-50.0,177
433,1622659206.8541775,0,0,0,-50.0,180
434,1622659206.859759,0,0,0,-50.0,181
435,1622659206.865323,0,0,0,-50.0,179
436,1622659206.8709729,0,0,0,-50.0,179
437,1622659206.8764834,0,0,0,-50.0,176
438,1622659206.882084,0,0,0,-50.0,181
439,1622659206.8876321,0,0,0,-50.0,178
440,1622659206.89312,0,0,0,-50.0,180
441,1622659206.898694,0,0,0,-50.0,182
442,1622659206.9042375,0,0,0,-50.0,179
443,1622659206.9098315,0,0,0,-50.0,180
444,1622659206.9153552,0,0,0,-50.0,178
445,1622659206.9209862,0,0,0,-50.0,180
446,1622659206.9265165,0,0,0,-50.0,177
447,1622659206.9321184,0,0,0,-50.0,180
448,1622659206.9378266,0,0,0,-50.0,175
449,1622659206.9433572,0,0,0,-50.0,178
450,1622659206.948965,0,0,0,-50.0,180
451,1622659206.9544675,0,0,0,-50.0,178
452,1622659206.9600625,0,0,0,-50.0,181
453,1622659206.9656248,0,0,0,-50.0,178
454,1622659206.9712691,0,0,0,-50.0,179
455,1622659206.9767704,0,0,0,-50.0,177
456,1622659206.9823382,0,0,0,-50.0,181
457,1622659206.987933,0,0,0,-50.0,179
458,1622659206.993478,0,0,0,-50.0,178
459,1622659206.9990616,0,0,0,-50.0,180
460,1622659207.0046039,0,0,0,-50.0,179
461,1622659207.0101016,0,0,0,-50.0,180
462,1622659207.015723,0,0,0,-50.0,178
463,1622659207.0212467,0,0,0,-50.0,180
464,1622659207.0268576,0,0,0,-50.0,180
465,1622659207.032469,0,0,0,-50.0,178
466,1622659207.038173,0,0,0,-50.0,178
467,1622659207.0437033,0,0,0,-50.0,175
468,1622659207.0493321,0,0,0,-50.0,180
469,1622659207.0548685,0,0,0,-50.0,177
470,1622659207.0604646,0,0,0,-50.0,180
471,1622659207.0660756,0,0,0,-50.0,178
472,1622659207.0715744,0,0,0,-50.0,178
473,1622659207.0770373,0,0,0,-50.0,181
474,1622659207.0824893,0,0,0,-50.0,183
475,1622659207.0879316,0,0,0,-50.0,183
476,1622659207.0934196,0,0,0,-50.0,183
477,1622659207.0988371,0,0,0,-50.0,182
478,1622659207.1042595,0,0,0,-50.0,184
479,1622659207.1096666,0,0,0,-50.0,184
480,1622659207.1150668,0,0,0,-50.0,184
481,1622659207.120481,0,0,0,-50.0,185
482,1622659207.125943,0,0,0,-50.0,184
483,1622659207.1314068,0,0,0,-50.0,183
484,1622659207.136897,0,0,0,-50.0,183
485,1622659207.1423967,0,0,0,-50.0,181
486,1622659207.1480784,0,0,0,-50.0,181
487,1622659207.1535482,0,0,0,-50.0,175
488,1622659207.1590083,0,0,0,-50.0,183
489,1622659207.164465,0,0,0,-50.0,183
490,1622659207.169918,0,0,0,-50.0,183
491,1622659207.175379,0,0,0,-50.0,183
492,1622659207.1808362,0,0,0,-50.0,183
493,1622659207.1863372,0,0,0,-50.0,181
494,1622659207.191839,0,0,0,-50.0,183
495,1622659207.1972923,0,0,0,-50.0,181
496,1622659207.2027237,0,0,0,-50.0,183
497,1622659207.208154,0,0,0,-50.0,184
498,1622659207.2135766,0,0,0,-50.0,184
